Algorithm,Array Size,Input Case,Time (seconds),Memory (KB)
Flash Sort,10000,Worst,0.212757,172.45
Flash Sort,100000,Best,2.379175,1754.73
Flash Sort,100000,Random,1.795117,1754.73
Flash Sort,100000,Worst,2.063971,1754.7
Flash Sort,1000000,Best,23.275987,17575.14
Flash Sort,1000000,Random,18.207275,17575.14
Flash Sort,1000000,Worst,19.808727,17575.11
Gnome Sort,1000,Best,0.003574,0.11
Gnome Sort,1000,Random,0.616439,0.11
Gnome Sort,1000,Worst,0.875193,0.11
Gnome Sort,10000,Best,0.036946,0.11
Gnome Sort,10000,Random,72.110455,0.11
Gnome Sort,10000,Worst,140.081105,0.11
Gnome Sort,100000,Best,0.107269,0.11
Gnome Sort,100000,Random,Time Limit,N/A
Gnome Sort,100000,Worst,Time Limit,N/A
Gnome Sort,1000000,Best,0.867459,0.11
Gnome Sort,1000000,Random,Time Limit,N/A
Gnome Sort,1000000,Worst,Time Limit,N/A
Heap Sort,1000,Best,0.034491,0.34
Heap Sort,1000,Random,0.02893,0.34
Heap Sort,1000,Worst,0.004541,0.34
Heap Sort,10000,Best,0.170064,0.59
Heap Sort,10000,Random,0.142603,0.59
Heap Sort,10000,Worst,0.114767,0.59
Heap Sort,100000,Best,1.956767,0.78
Heap Sort,100000,Random,1.952374,0.78
Heap Sort,100000,Worst,1.661576,0.78
Heap Sort,1000000,Best,25.291993,0.96
Heap Sort,1000000,Random,25.154608,0.96
Heap Sort,1000000,Worst,22.805224,0.96
Insertion Sort,1000,Best,0.002857,0.17
Insertion Sort,1000,Random,0.227613,0.17
Insertion Sort,1000,Worst,0.279151,0.17
Insertion Sort,10000,Best,0.045647,0.17
Insertion Sort,10000,Random,24.619791,0.17
Insertion Sort,10000,Worst,45.240886,0.17
Insertion Sort,100000,Best,0.163547,0.17
Insertion Sort,100000,Random,Time Limit,N/A
Insertion Sort,100000,Worst,Time Limit,N/A
Insertion Sort,1000000,Best,1.281982,0.17
Insertion Sort,1000000,Random,Time Limit,N/A
Insertion Sort,1000000,Worst,Time Limit,N/A
Intro Sort,1000,Best,0.031434,0.95
Intro Sort,1000,Random,0.024093,1.45
Intro Sort,1000,Worst,0.013667,1.41
Intro Sort,10000,Best,0.121661,1.26
Intro Sort,10000,Random,0.160252,1.88
Intro Sort,10000,Worst,0.289894,2.32
Intro Sort,100000,Best,1.494208,1.6
Intro Sort,100000,Random,2.137123,2.7
Intro Sort,100000,Worst,3.538925,3.31
Intro Sort,1000000,Best,17.726442,1.88
Intro Sort,1000000,Random,25.048824,3.2
Intro Sort,1000000,Worst,44.648956,5.41
Merge Sort,1000,Best,0.004655,16.77
Merge Sort,1000,Random,0.025763,16.77
Merge Sort,1000,Worst,0.007773,16.77
Merge Sort,10000,Best,0.189294,157.99
Merge Sort,10000,Random,0.188956,157.99
Merge Sort,10000,Worst,0.17709,157.99
Merge Sort,100000,Best,2.466954,1564.67
Merge Sort,100000,Random,2.53477,1564.67
Merge Sort,100000,Worst,2.340816,1564.67
Merge Sort,1000000,Best,33.760907,15627.6
Merge Sort,1000000,Random,33.877867,15627.6
Merge Sort,1000000,Worst,31.553159,15627.6
Merge-Insertion Sort,1000,Best,0.022997,84.2
Merge-Insertion Sort,1000,Random,0.009576,84.2
Merge-Insertion Sort,1000,Worst,0.014159,84.16
Merge-Insertion Sort,10000,Best,0.186546,804.03
Merge-Insertion Sort,10000,Random,0.16455,804.03
Merge-Insertion Sort,10000,Worst,0.144195,804
Merge-Insertion Sort,100000,Best,2.100454,8048.66
Merge-Insertion Sort,100000,Random,2.687506,8048.66
Merge-Insertion Sort,100000,Worst,2.447804,8048.63
Merge-Insertion Sort,1000000,Best,59.029656,79154.05
Merge-Insertion Sort,1000000,Random,109.377508,79154.05
Merge-Insertion Sort,1000000,Worst,103.53617,79154.02
Merge-Insertion Sort (Alt),1000,Best,0.019625,84.19
Merge-Insertion Sort (Alt),1000,Random,0.002654,84.19
Merge-Insertion Sort (Alt),1000,Worst,0.013828,84.16
Merge-Insertion Sort (Alt),10000,Best,0.128534,804.03
Merge-Insertion Sort (Alt),10000,Random,0.098125,804.03
Merge-Insertion Sort (Alt),10000,Worst,0.086936,804
Merge-Insertion Sort (Alt),100000,Best,1.352852,8048.66
Merge-Insertion Sort (Alt),100000,Random,1.850568,8048.66
Merge-Insertion Sort (Alt),100000,Worst,1.745647,8048.63
Merge-Insertion Sort (Alt),1000000,Best,50.407011,79154.05
Merge-Insertion Sort (Alt),1000000,Random,99.43849,79154.05
Merge-Insertion Sort (Alt),1000000,Worst,92.583051,79154.02
Pairwise Sorting Network,1000,Best,0.057994,10.16
Pairwise Sorting Network,1000,Random,0.05892,10.16
Pairwise Sorting Network,1000,Worst,0.072724,10.16
Pairwise Sorting Network,10000,Best,1.133162,178.57
Pairwise Sorting Network,10000,Random,1.457106,178.57
Pairwise Sorting Network,10000,Worst,1.260144,178.57
Pairwise Sorting Network,100000,Best,12.89289,1267.45
Pairwise Sorting Network,100000,Random,18.780923,1267.45
Pairwise Sorting Network,100000,Worst,14.777799,1267.45
Pairwise Sorting Network,1000000,Best,142.697812,9596.23
Pairwise Sorting Network,1000000,Random,Time Limit,N/A
Pairwise Sorting Network,1000000,Worst,162.702578,9596.23
Pancake Sort,1000,Best,0.18044,8.02
Pancake Sort,1000,Random,0.201265,8.02
Pancake Sort,1000,Worst,0.156877,8.01
Pancake Sort,10000,Best,18.599576,78.33
Pancake Sort,10000,Random,29.616358,78.33
Pancake Sort,10000,Worst,18.666231,78.32
Pancake Sort,100000,Best,Time Limit,N/A
Pancake Sort,100000,Random,Time Limit,N/A
Pancake Sort,100000,Worst,Time Limit,N/A
Pancake Sort,1000000,Best,Time Limit,N/A
Pancake Sort,1000000,Random,Time Limit,N/A
Pancake Sort,1000000,Worst,Time Limit,N/A
Patience Sort,1000,Best,0.037629,122.02
Patience Sort,1000,Random,0.011531,33.83
Patience Sort,1000,Worst,0.022574,25.39
Patience Sort,10000,Best,0.271627,1259.88
Patience Sort,10000,Random,0.062144,272.65
Patience Sort,10000,Worst,0.076166,244.77
Patience Sort,100000,Best,3.573279,12713.47
Patience Sort,100000,Random,1.329233,2489.08
Patience Sort,100000,Worst,0.428582,2345.95
Patience Sort,1000000,Best,45.582631,126301.38
Patience Sort,1000000,Random,20.721078,24634.85
Patience Sort,1000000,Worst,4.028906,24314.2
Patience Sort (Alt),1000,Best,0.020184,193.29
Patience Sort (Alt),1000,Random,0.000854,33.44
Patience Sort (Alt),1000,Worst,0.00081,25.41
Patience Sort (Alt),10000,Best,0.085366,2021.96
Patience Sort (Alt),10000,Random,0.023901,265.28
Patience Sort (Alt),10000,Worst,0.003188,244.79
Patience Sort (Alt),100000,Best,0.735975,20363.64
Patience Sort (Alt),100000,Random,0.159142,2455.15
Patience Sort (Alt),100000,Worst,0.026268,2345.98
Patience Sort (Alt),1000000,Best,8.338553,202924.21
Patience Sort (Alt),1000000,Random,1.764009,24515.58
Patience Sort (Alt),1000000,Worst,0.118638,24314.23
Pigeonhole Sort,1000,Best,0.003761,32.02
Pigeonhole Sort,1000,Random,0.00621,32.02
Pigeonhole Sort,1000,Worst,0.009766,32.02
Pigeonhole Sort,10000,Best,0.050382,383.37
Pigeonhole Sort,10000,Random,0.048106,383.37
Pigeonhole Sort,10000,Worst,0.053809,383.37
Pigeonhole Sort,100000,Best,0.231399,3898.45
Pigeonhole Sort,100000,Random,0.271954,3898.45
Pigeonhole Sort,100000,Worst,0.239576,3898.45
Pigeonhole Sort,1000000,Best,2.31608,39054.59
Pigeonhole Sort,1000000,Random,2.316949,39054.59
Pigeonhole Sort,1000000,Worst,2.314109,39054.59
Quick Sort,1000,Best,0.03555,0.84
Quick Sort,1000,Random,0.031201,1.22
Quick Sort,1000,Worst,0.008147,0.97
Quick Sort,10000,Best,0.144189,1.16
Quick Sort,10000,Random,0.19823,2.22
Quick Sort,10000,Worst,0.161744,1.34
Quick Sort,100000,Best,1.582874,1.41
Quick Sort,100000,Random,2.174241,2.72
Quick Sort,100000,Worst,1.68236,1.59
Quick Sort,1000000,Best,18.061555,1.66
Quick Sort,1000000,Random,25.320691,3.16
Quick Sort,1000000,Worst,19.135163,1.97
Radix Sort,1000,Best,0.024554,24.67
Radix Sort,1000,Random,0.035847,24.67
Radix Sort,1000,Worst,0.017725,24.67
Radix Sort,10000,Best,0.241203,239.83
Radix Sort,10000,Random,0.232782,239.83
Radix Sort,10000,Worst,0.249617,239.83
Radix Sort,100000,Best,2.375807,2345.11
Radix Sort,100000,Random,2.472836,2345.11
Radix Sort,100000,Worst,2.362868,2345.11
Radix Sort,1000000,Best,29.204802,23876.11
Radix Sort,1000000,Random,30.043334,23876.11
Radix Sort,1000000,Worst,28.672918,23876.11
Selection Sort,1000,Best,0.219398,0.3
